779283`EH`2024-04-15 00:00:00.000`0.0`2.75`0`0`
779282`JRL`2024-04-10 00:00:00.000`0.0`0.33000000000000002`2`0`
779264`JLA`2024-04-16 00:00:00.000`0.0`3.8799999999999999`0`0`
779263`JZ`2024-04-12 00:00:00.000`0.0`1.1200000000000001`7`0`
779262`AH`2024-04-12 00:00:00.000`0.0`0.94999999999999996`7`0`
779261`ITA`2024-04-10 00:00:00.000`0.0`0.84999999999999998`0`0`
779261`ITA`2024-04-11 00:00:00.000`0.0`1.4299999999999999`7`0`
779260`JRL`2024-04-10 00:00:00.000`0.0`0.69999999999999996`7`0`
779253`ITA`2024-04-16 00:00:00.000`0.0`1.9199999999999999`0`0`
779253`ITA`2024-04-16 00:00:00.000`0.0`1.3799999999999999`1`0`
779252`JRL`2024-04-11 00:00:00.000`0.0`5.0000000000000003E-2`1`0`
779248`AMH`2024-04-15 00:00:00.000`0.0`0.29999999999999999`2`0`
779246`DT`2024-04-09 00:00:00.000`0.0`0.11`2`0`
779245`DT`2024-04-09 00:00:00.000`0.0`0.17000000000000001`2`0`
779244`JLA`2024-04-09 00:00:00.000`0.0`0.40000000000000002`2`0`
779243`TJ`2024-04-09 00:00:00.000`0.0`1.5`2`0`
779242`AB`2024-04-09 00:00:00.000`0.0`1.8700000000000001`2`1`
779242`AB`2024-04-08 00:00:00.000`0.0`6.2800000000000002`0`0`
779241`JRL`2024-04-08 00:00:00.000`0.0`0.14000000000000001`1`0`
779241`JRL`2024-04-05 00:00:00.000`0.0`0.27000000000000002`2`0`
779232`JLA`2024-04-15 00:00:00.000`0.0`0.84999999999999998`3`0`
779231`CKR`2024-04-10 00:00:00.000`0.0`1.25`3`0`
779230`JRL`2024-04-08 00:00:00.000`0.0`0.20000000000000001`3`0`
779221`TT`2024-04-17 00:00:00.000`0.0`14.5`25`0`
779220`JRL`2024-04-12 00:00:00.000`0.0`1.98`25`0`
779207`CA`2024-04-17 00:00:00.000`0.0`0.0`0`0`
779207`CA`2024-04-16 00:00:00.000`0.0`8.5700000000000003`0`0`
779206`JZ`2024-04-11 00:00:00.000`0.0`0.12`2`0`
779205`EU`2024-04-10 00:00:00.000`0.0`1.6599999999999999`2`0`
779204`JPK`2024-04-09 00:00:00.000`0.0`0.75`2`0`
779203`NR`2024-04-09 00:00:00.000`0.0`0.63`2`0`
779202`ZN`2024-04-06 00:00:00.000`0.0`1.73`2`0`
779201`JRL`2024-04-05 00:00:00.000`0.0`0.27000000000000002`2`0`
779195`JZ`2024-04-15 00:00:00.000`0.0`8.0000000000000002E-2`3`0`
779194`AH`2024-04-12 00:00:00.000`0.0`1.3999999999999999`3`0`
779193`AH`2024-04-11 00:00:00.000`0.0`2.6000000000000001`3`0`
779192`AB`2024-04-10 00:00:00.000`0.0`5.3499999999999996`3`0`
779191`JRL`2024-04-03 00:00:00.000`0.0`0.29999999999999999`3`0`
779188`TM`2024-04-15 00:00:00.000`0.0`1.4299999999999999`1`0`
779187`JZ`2024-04-12 00:00:00.000`0.0`2.9999999999999999E-2`0`0`
779186`NJW`2024-04-11 00:00:00.000`0.0`0.27000000000000002`1`0`
779185`ZN`2024-04-10 00:00:00.000`0.0`2.1699999999999999`1`0`
779184`JRL`2024-04-08 00:00:00.000`0.0`0.13`1`0`
779167`CF`2024-04-16 00:00:00.000`0.0`0.63`3`0`
779166`JLA`2024-04-15 00:00:00.000`0.0`0.84999999999999998`3`0`
779165`DT`2024-04-12 00:00:00.000`0.0`0.10000000000000001`3`0`
779164`EU`2024-04-10 00:00:00.000`0.0`0.5`3`0`
779163`ITA`2024-04-09 00:00:00.000`0.0`1.1599999999999999`3`0`
779162`JRL`2024-04-05 00:00:00.000`0.0`0.13`3`0`
